Cairo Global Temprature and the Global Temprature,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Here's a summary of Temprature of Cairo versus the global climate tempreature, as we see It's always higher than the world's average. it's very notable on charts and here's some facts about it:",,,,,,,,,,,,,,,,,,
,"1) The Minimum tempreature happened for both in the same era: 1811 for the global climate, and 1818 for cairos' recording 6.86 and 11.06 (which is a very notable outliar) respectively.",,,,,,,,,,,,,,,,,,
,2) The Maximum Tempreature also happened for the Global and cairo's average tempraturein the same era 2007 and 2011 recording 9.73 and 23.72 respectively.,,,,,,,,,,,,,,,,,,
,3) Temprature is changing in the same trend with the global change in climate. Changes in both of them are high positive change with more than 34% for the global and 57% for the cairo's.,,,,,,,,,,,,,,,,,,
,"4) The pervious point leads us also leads us to this one which talks about the correlation coeffecient (yeay on year) appear to be strong somehow (related 34% to the global climate) but, considering the average of the last 5 years, we can see this relation became stronger (57% correlated). Which is also appeared on the graphs below which show the accending temprature for both of them",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Year,Global AVG Temp,Cairo's AVG Temp,Moving AVG Global,Moving AVG Cairo,,,,,,,,,,,,,,
,1808,7.63,17.11,,,,,,,,,,,,,,,,
,1809,7.08,19.87,,,,,,,,,,,,,,,,
,1810,6.92,19.93,,,,,,,,,,,,,,,,
,1811,6.86,20,,,,,,,,,,,,,,,,
,1812,7.05,19.93,7.108,19.368,,Statistical Facts,Global,Cairo,Difference,,,,,,,,,
,1813,7.74,20.51,7.13,20.048,,Max,9.73,23.72,13.99,,,,,,,,,
,1814,7.59,20.43,7.232,20.16,,When Max happened,2007,2010,3,,,,,,,,,
,1815,7.24,20.3,7.296,20.234,,Min,6.86,11.6,4.74,,,,,,,,,
,1816,6.94,20.51,7.312,20.336,,When Min happened,1811,1818,7,,,,,,,,,
,1817,6.98,21.88,7.298,20.726,,Range for real data,2.87,12.12,9.25,,,,,,,,,
,1818,7.83,11.6,7.316,18.944,,Range for Mov AVG,2.472,3.978,1.506,,,,,,,,,
,1819,7.37,20.31,7.272,18.92,,Average Temp,8.40,21.17,12.77,,,,,,,,,
,1820,7.62,20.58,7.348,18.976,,Change in % (Range/ Avg),34.18%,57.25%,,,,,,,,,,
,1821,8.09,20.63,7.578,19,,,,,,,,,,,,,,
,1822,8.19,20.72,7.82,18.768,,,,,,,,,,,,,,
,1823,7.72,20.71,7.798,20.59,,,,,,,,,,,,,,
,1824,8.55,21.44,8.034,20.816,,,Correlation Coeffecient,,,,,,,,,,,
,1825,8.39,21,8.188,20.9,,,For data,For Mov AVG,,,,,,,,,,
,1826,8.36,20.94,8.242,20.962,,,0.58,0.89,,,,,,,,,,
,1827,8.81,21.63,8.366,21.144,,,,,,,,,,,,,,
,1828,8.17,20.99,8.456,21.2,,,,,,,,,,,,,,
,1829,7.94,20.91,8.334,21.094,,,,,,,,,,,,,,
,1830,8.52,21.25,8.36,21.144,,,,,,,,,,,,,,
,1831,7.64,20.52,8.216,21.06,,,,,,,,,,,,,,
,1832,7.45,20.2,7.944,20.774,,,,,,,,,,,,,,
,1833,8.01,20.81,7.912,20.738,,,,,,,,,,,,,,
,1834,8.15,20.69,7.954,20.694,,,,,,,,,,,,,,
,1835,7.39,20.17,7.728,20.478,,,,,,,,,,,,,,
,1836,7.7,20.59,7.74,20.492,,,,,,,,,,,,,,
,1837,7.38,20.27,7.726,20.506,,,,,,,,,,,,,,
,1838,7.51,20.21,7.626,20.386,,,,,,,,,,,,,,
